national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Citizens for European Development of Bulgaria,,935,0,0.05045454545454545,,0.9718124642652944,
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1884,1884,0.00826380498943501,0.010721332115400167,0.9468154473482869,0.9247819256272385
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1810,1810,0.004867140226256249,0.058916643170214986,0.9864523092009281,0.9274814548138897
Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,,0,0,,,,
,Group of the European People's Party (Christian Democrats),0,1933,,0.01649922428933032,,0.9234633909881532
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1856,1856,0.0065732758620689665,0.018284893736829743,0.9806915202254641,0.9539841560065461
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1977,1977,0.003480720931403784,0.018149396260038458,0.9806526069614082,0.9519547491238957
Forza Italia,Group of the European People's Party (Christian Democrats),1979,1985,0.04310558483120383,0.07648845298220652,0.9191701833011656,0.9243925921302356
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1535,1535,0.01015876430459127,0.013005651322125358,0.9791215439601992,0.9546531161875199
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1987,1987,0.007013568446918403,0.016788839474857636,0.9733762649097119,0.952512030977114
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1845,1845,0.005589469794219473,0.013291425497333007,0.9724778564956464,0.9516825102232883
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1760,1760,0.013072672163798461,0.015889851219852917,0.9762770266619565,0.9509360355697712
Democraten 66,Group of the Alliance of Liberals and Democrats for Europe,1636,1636,0.0024449877750611247,0.013415086010456531,0.9937347188264058,0.9300856198666905
Freie Wähler,European Conservatives and Reformists Group,1564,1742,0.0,0.08955629110806404,0.7520091848450058,0.734150764494023
Bezpartyjna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,2005,,0.01685711853144117,,0.9521944948570058
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1778,1778,0.0043347260163908085,0.00532710436753524,0.9764620737342897,0.9571585067844222
Unia Pracy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1953,,0.030479481841982573,,0.9504140404825222
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),2058,2058,0.007486286999057946,0.015475881105498836,0.946245384419807,0.9244993212756812
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1608,1615,0.013762989964016082,0.095258139569817,0.9524781894181821,0.3980563706175849
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1835,1835,0.005902410297261023,0.020847275876987804,0.9855943712910817,0.9526698901685705
Ciudadanos – Partido de la Ciudadanía,,382,0,0.0,,0.9875277161862528,
Conservative Party,Group of the European People's Party (Christian Democrats),1609,1609,0.21733317811158306,0.26062854612062386,0.9178555009848172,0.9247818694322051
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1842,1842,0.009101513913289054,0.009885258038035862,0.9774722843608794,0.953000724626496
Coalition of the Radical Left,,666,0,0.09384384384384384,,0.9527301092043682,
Rassemblement national,Europe of Nations and Freedom Group,1904,1904,0.062356629714822996,0.034936994486434295,0.977532805080074,0.6499982981937644
Parti démocratique,Group of the Alliance of Liberals and Democrats for Europe,0,1839,,0.012538755078518829,,0.9303228914607559
Front national,Non-attached Members,1143,1716,0.030402449693788275,0.10616994152065408,0.9758595571095572,0.42058658094676543
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1832,1833,0.024684185901434813,0.01754857025330724,0.9783415166393891,0.9510079376355505
Partido Popular,Group of the European People's Party (Christian Democrats),1984,1985,0.0076040978510736575,0.01225801183105444,0.9797460113230968,0.9256434561999087
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1993,1993,0.016927469586777162,0.05816354503355735,0.9564851459796266,0.7359155373305298
Mouvement Démocrate,,894,0,0.016778523489932886,,0.9812981298129813,
The River,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1570,1641,0.0,0.019359202111337754,0.9876599634369287,0.9529737488879085
Partido Popular,Group of the European People's Party (Christian Democrats),1681,1681,0.0055899298500428785,0.016794477634381275,0.9790303410502784,0.9233279858539168
Partidul Puterii Umaniste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,2004,,0.03896325855790816,,0.9503126779187666
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1979,1979,0.013461190859649851,0.016162838710814836,0.9475772085457788,0.9254680623132465
Mouvement Démocrate,Group of the Alliance of Liberals and Democrats for Europe,1881,1936,0.002658160552897395,0.029793403609537736,0.9828254132231405,0.9292367830615349
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1871,1871,0.0035327170616200007,0.021264797234104866,0.9870183201824863,0.9542113817262645
Zaļo un Zemnieku savienība,Group of the Alliance of Liberals and Democrats for Europe,0,1627,,0.07213166751801264,,0.9284815058277472
Prawo i Sprawiedliwość,,705,0,0.13422332986162772,,0.9556471463443919,
Sozialdemokratische Partei Deutschlands,,844,0,0.10381847696444381,,0.9712058923731881,
Les Républicains,Group of the European People's Party (Christian Democrats),2070,2070,0.004594427311818616,0.018261621673301212,0.967934951521908,0.9246025501534468
Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),1779,1791,0.015739179314221474,0.04105599796048299,0.9690815187046343,0.9277364596178648
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1934,1934,0.006408951401337441,0.006288890353033444,0.9785416088020749,0.953438953089997
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1772,1772,0.005462924960667624,0.010918005524761631,0.9821184200487248,0.9551768252740297
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1900,1900,0.004481516290726817,0.01850475377922083,0.9654238721804511,0.9522549521874117
,Group of the European People's Party (Christian Democrats),0,1356,,0.030649887164737304,,0.9299685651390566
Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1600,1604,0.00375,0.04694730833553003,0.9766521197007481,0.951723643826876
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1528,1528,0.007094835792479771,0.02173547143963003,0.9789174857646716,0.9527806538168332
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1465,1465,0.0043803835527385015,0.061588973679160317,0.9869036168609547,0.9272636854982299
Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left,1634,1844,0.0,0.06333301500172651,0.961767895878525,0.7845430932822572
Perussuomalaiset,European Conservatives and Reformists Group,1529,1824,0.0,0.03298289974227822,0.9148848684210527,0.7457528818672519
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,661,661,0.01781391830559758,0.026287026938786196,0.933866436135725,0.7768720427515098
Conservative Party,European Conservatives and Reformists Group,1316,1316,0.034598294966621326,0.06677370957112776,0.9155483305860423,0.7433921846554181
,Group of the Alliance of Liberals and Democrats for Europe,0,1857,,0.04471595505568389,,0.9282251947437454
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1740,1740,0.04080665024630542,0.04187527009583185,0.9764697156291985,0.9586158454267716
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1893,1893,0.006657359193016879,0.008776111358240045,0.9776303903879181,0.9591483579828387
Vihreä liitto,Group of the Greens/European Free Alliance,0,1803,,0.01538518829000666,,0.9584768936809204
Fine Gael Party,Group of the European People's Party (Christian Democrats),1842,1845,0.010857763300760043,0.026781767489936506,0.984349593495935,0.926764063396003
Partij voor de Dieren,Confederal Group of the European United Left - Nordic Green Left,0,1969,,0.10596566469974181,,0.7846303912765656
Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1601,1601,0.016396002498438474,0.05836596965588442,0.9762179887570268,0.9516533666487926
Partidul Naţional Liberal,,185,0,0.3473745173745174,,0.9646681789407048,
United Kingdom Independence Party,,1075,0,0.1256137755313542,,0.9479726490834411,
Liberal-Conservative Refomists,European Conservatives and Reformists Group,1740,1746,0.02507183908045977,0.0548079942172604,0.9534650630011455,0.7406990605896613
Partido Popular,Group of the European People's Party (Christian Democrats),1583,1583,0.00322884632739339,0.013126827598329694,0.9799335121977351,0.9253381006238505
Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),1931,1932,0.005696530295183843,0.0292595168127237,0.969138198757764,0.9256266577448755
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1861,1861,0.0064024078196566105,0.006524395012257016,0.9778336252678005,0.9581706785227306
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1542,1542,0.014074326777171162,0.01870859476555926,0.973769429067948,0.9535780242671991
Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),1795,1797,0.01615598885793872,0.029461477904310873,0.9499582637729548,0.92543708000835
Moderaterna,Group of the European People's Party (Christian Democrats),1667,1767,0.005398920215956809,0.08773131031613926,0.9750990379173741,0.925900542427357
Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),0,1637,,0.06018562769791277,,0.925555795444207
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1837,1837,0.006841112151038316,0.02283603790197452,0.9854681935232907,0.9538131653561497
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1403,1403,0.022896036607725843,0.09080546305415967,0.9620879410584244,0.39374114392585147
Les Républicains,Group of the European People's Party (Christian Democrats),1750,1750,0.02472614528328814,0.025654615273873364,0.9668314685314685,0.9244466191381301
Labour Party,,731,0,0.05122551967224855,,0.984123101857126,
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1982,1982,0.015246817397793832,0.01550518105185504,0.966640220669499,0.9263798880152241
Scottish National Party,Group of the Greens/European Free Alliance,1319,1553,0.0,0.030945833311325634,1.0,0.9594690114256152
Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,1959,1989,0.0015313935681470138,0.12244646385718745,0.9938411261940674,0.928006703014663
Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,1897,1898,0.0028993147074327886,0.014402863704328436,0.9826791359325606,0.9272071494000076
Nieuw-Vlaamse Alliantie,,249,0,0.028112449799196786,,0.990529352734571,
PODEMOS,,680,0,0.015808823529411764,,0.9911583866207575,
Democraten 66,Group of the Alliance of Liberals and Democrats for Europe,2028,2032,0.005424063116370809,0.013853577770537463,0.9944635826771654,0.9254651535260858
Bulgarian Socialist Party,,898,0,0.05011135857461024,,0.9552782111284451,
,Non-attached Members,0,1380,,0.2760636139540602,,0.4134486073977846
Wolność,Europe of Freedom and Direct Democracy Group,1623,1916,0.0,0.1675064159547442,0.9448068893528184,0.42135025919797386
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1608,1943,0.0,0.011106128276272127,0.9857179619145651,0.9484141276549967
Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe,1808,1871,0.032079646017699116,0.025448119116599777,0.9537680384820951,0.9292212498812366
Prawo i Sprawiedliwość,,661,0,0.14859017684282436,,0.9561039157758614,
Europe Écologie,Group of the Greens/European Free Alliance,1819,1820,0.007119296316657505,0.017855671840010624,0.972760989010989,0.9608430366692481
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),2005,2005,0.02504051625669777,0.02954657077097533,0.946788837191648,0.9255946300033729
Istarski demokratski sabor - Dieta democratica istriana,Group of the Alliance of Liberals and Democrats for Europe,0,2019,,0.024116117310655535,,0.9253442670077656
Rassemblement national,Europe of Nations and Freedom Group,1602,1602,0.017385860082489293,0.012566807545069473,0.9806946434755424,0.6569640122977083
,Non-attached Members,0,1543,,0.1642531635698118,,0.42385245679077155
Partij voor de Vrijheid,,276,0,0.018115942028985508,,0.9957977922729554,
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1922,1922,0.0035446819916122724,0.014794358072038978,0.9806177325102923,0.9517264452906161
Együtt 2014 - Párbeszéd Magyarországért,Group of the Greens/European Free Alliance,0,1763,,0.004457894238632276,,0.9581789634374761
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1861,1861,0.012407157684641327,0.019762149856395055,0.9672345569898279,0.9267329720619886
,Group of the Alliance of Liberals and Democrats for Europe,0,2060,,0.04266096484141411,,0.9249734680251527
Partido Popular,Group of the European People's Party (Christian Democrats),1539,1539,0.0068170512614957055,0.01823922498999064,0.978228450113125,0.9236810396424957
PODEMOS,,325,0,0.03538461538461538,,0.9912785055798157,
Europe Écologie,Group of the Greens/European Free Alliance,1687,1687,0.006861292234736218,0.013606362276338378,0.9692205097806758,0.9593068037174552
Socialistische Partij,Confederal Group of the European United Left - Nordic Green Left,1707,1793,0.0,0.16610965903501967,0.9958170663692136,0.7838226262917873
Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1823,1883,0.0021941854086670325,0.02561527785330049,0.9920339883165162,0.9511130479501531
Les Républicains,Group of the European People's Party (Christian Democrats),1573,1573,0.013882271574579268,0.024857736013633183,0.9674901465349653,0.921679163879136
EH BILDU,,0,0,,,,
Prawica Rzeczypospolitej,European Conservatives and Reformists Group,0,1908,,0.06561530998790918,,0.7408564583953356
Les Républicains,Group of the European People's Party (Christian Democrats),1696,1696,0.02784873832928078,0.03331199065748443,0.9665962796048291,0.92357418298101
Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1833,1836,0.005796508456082925,0.019220135463181433,0.9879765795206972,0.9544641385950856
Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1346,1418,0.0,0.026792361283308492,0.9709097320169252,0.9536231347816503
Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),1739,1743,0.013225991949396205,0.020584537882761197,0.9695209409064831,0.927257158180611
Eesti Reformierakond,,1265,0,0.0,,0.9775280898876404,
Partija 'VIENOTĪBA',Group of the European People's Party (Christian Democrats),1782,1836,0.010662177328843996,0.020066016539008573,0.9767156862745098,0.9275453777549562
Conservative Party,European Conservatives and Reformists Group,1578,1578,0.015825952917509323,0.06697964969161556,0.9235501047131777,0.7428559060130037
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1951,1951,0.011961515373202392,0.02099739635028947,0.9754451375624543,0.9547566631515458
Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,1907,1916,0.04011536444677504,0.27357941536079017,0.9562239039665971,0.6513591080155616
Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),1958,1958,0.007724719101123595,0.020969029459649527,0.9833758937691522,0.924728383513273
Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left,0,1809,,0.14190349648147668,,0.7864818815260548
Conservative Party,European Conservatives and Reformists Group,1486,1486,0.04025469284901748,0.07337244587630931,0.9171157406350738,0.7443000355268073
Partija 'VIENOTĪBA',Group of the European People's Party (Christian Democrats),1504,1654,0.008643617021276596,0.09229749216344107,0.9758201357466063,0.926021152810311
,Non-attached Members,0,1350,,0.21235402536537726,,0.4158882368348313
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1762,1762,0.06225986225276805,0.10091394595813505,0.9552319629859358,0.7354144956056284
Coalition of the Radical Left,,459,0,0.1309912854030501,,0.9531846312532233,
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1929,1929,0.0137613655088592,0.020042016713169405,0.9737054757942503,0.9518677035557007
Nea Demokratia,Group of the European People's Party (Christian Democrats),1532,1590,0.013136422976501305,0.0349797757271238,0.9791194968553459,0.9275741505818201
Isamaa,Group of the European People's Party (Christian Democrats),0,2010,,0.019130649852034515,,0.9277341869146037
Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1866,1890,0.026259378349410504,0.043788361058347436,0.957936507936508,0.9526036731039866
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,2005,2005,0.004601591259945374,0.002558248851399946,0.9767454199997841,0.9584147556063992
Fine Gael Party,Group of the European People's Party (Christian Democrats),1972,1998,0.005070993914807302,0.02247742933444353,0.9857982982982983,0.9245899179618554
Labour Party,,1043,0,0.029569806008428966,,0.9847385135235572,
Conservative Party,,845,0,0.17172911394392698,,0.9206777312475334,
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1763,1763,0.008415744024892077,0.025942216315739865,0.9853308306473778,0.9518453470825297
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1830,1830,0.023397062436076577,0.030353750257007928,0.946433253293307,0.9233837019014683
Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1940,1945,0.0036082474226804126,0.04944858905601483,0.9911311053984576,0.9506288611225999
Liberal-Conservative Refomists,European Conservatives and Reformists Group,1881,1887,0.011895268474215842,0.052291646812352925,0.9544912559618441,0.744068645586917
Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,1553,1777,0.014166130070830651,0.09475747512583439,0.9573719752391672,0.7830816296354461
Wolność,,1180,0,0.0,,0.94125,
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1767,1767,0.006648678146980354,0.0650606086656457,0.9846805123757587,0.9256840042138514
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1754,1754,0.03524088851775214,0.04030273591399027,0.9729720660933354,0.9521275352989083
Österreichische Volkspartei,,1231,0,0.018988627132412672,,0.9830312810327705,
,Non-attached Members,0,1277,,0.17674690556031003,,0.4187648705799527
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),1910,1916,0.014842931937172775,0.029505782056582084,0.9740344467640919,0.9235692504867989
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1971,1971,0.019385897761871437,0.02210716463232001,0.9650805158644938,0.9255269084011761
Bezpartyjny,European Conservatives and Reformists Group,1426,1910,0.0,0.06372345075114501,0.8712041884816754,0.7415117529809203
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1741,1741,0.0069023433950676635,0.013993909235590319,0.9744238629036589,0.95392400264037
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1927,1927,0.006031326346354278,0.014948133156378836,0.9666844030843237,0.9274744179179567
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1753,1753,0.011086258098291083,0.015503896113676826,0.942437965112861,0.9204499165132585
,Group of the European People's Party (Christian Democrats),0,1906,,0.010850267652925238,,0.9257703204321601
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1608,1703,0.0,0.014288845515113634,0.9837052260716382,0.9515006683010012
Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,1520,1543,0.01751644736842105,0.0577987741387563,0.9554277381723913,0.7884984169212503
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1942,1942,0.018795523906234516,0.05951794826746733,0.955730392161906,0.7365071581458676
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1748,1748,0.007514563513602701,0.007937924062402528,0.9775227209905439,0.9512845235556345
Vasemmistoliitto,Confederal Group of the European United Left - Nordic Green Left,0,1827,,0.11652483794362171,,0.7870099399423844
The River,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1570,1895,0.0,0.013823062718931883,0.9893139841688654,0.9505728390986655
Nea Demokratia,Group of the European People's Party (Christian Democrats),1546,1562,0.011238680465717982,0.022162608203737003,0.9777048655569782,0.9358102156382483
Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,1787,1787,0.0058757694459988805,0.012708064067082421,0.9827224398433129,0.9293323426583149
Indépendant,Group of the European People's Party (Christian Democrats),1919,1963,0.0,0.019339406310011784,0.9850993377483444,0.9236882775415065
Green Party,Group of the Greens/European Free Alliance,1890,1896,0.0021164021164021165,0.004886652806916419,0.9883966244725738,0.9576910767625131
Ecologistes Confédérés pour l'Organisation de Luttes Originales,Group of the Greens/European Free Alliance,0,1881,,0.005772149041455148,,0.958640863803226
Freie Demokratische Partei,,830,0,0.04457831325301205,,0.9713064713064713,
Tėvynės sąjunga-Lietuvos krikščionys demokratai,,617,0,0.0,,0.9773657289002557,
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1825,1825,0.004904326168173697,0.007477070495636234,0.9752806110996013,0.9550487902014212
Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),1768,1769,0.007070135746606335,0.0309986323946372,0.9849915206331261,0.9262530672845882
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1931,1931,0.02404031579641613,0.028875937822021847,0.9466582084521294,0.9258377785322965
Sotsiaaldemokraatlik Erakond,,0,0,,,1.0,
Alternativa Popolare,Group of the European People's Party (Christian Democrats),0,1800,,0.017146406691705682,,0.9271457532929186
,Group of the European People's Party (Christian Democrats),0,2059,,0.024086575892619252,,0.9251776971807014
Rassemblement national,Europe of Nations and Freedom Group,1941,1943,0.004061480336596256,0.006232337079289662,0.9782718568101996,0.6518905477239929
Les Républicains,,1135,0,0.057222293125376834,,0.9679768976933644,
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1296,1296,0.012260068249651583,0.061794249677082184,0.9525158804672693,0.7234126472989784
Front de Gauche,Confederal Group of the European United Left - Nordic Green Left,1719,1774,0.06340895869691682,0.05585592524101207,0.8125704622322435,0.7885893016157829
Sozialdemokratische Partei Österreichs,,344,0,0.06540697674418605,,0.9865309126594701,
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1729,1729,0.01293408704129442,0.009441942715058996,0.9787757256819801,0.9582669578990671
Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),1950,1955,0.00814102564102564,0.030488795041049687,0.9827749360613811,0.9255404857017874
Front national,Non-attached Members,463,483,0.005669546436285098,0.10282748873767662,0.9675465838509316,0.41759959583306316
Front national,,879,0,0.01749146757679181,,0.9783067973055726,
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1884,1884,0.012395959619873071,0.022714137635557536,0.9667812486652643,0.9254575049397471
Conservative Party,,1216,0,0.08311814312942842,,0.9204042780892823,
Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1446,1783,0.0,0.023729336043837174,0.985698261357263,0.9521964239864587
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1808,1808,0.011885255144741966,0.00995131499046989,0.9460489203510822,0.925014760252656
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1916,1917,0.00710554420097893,0.012648551565319438,0.9724236370302307,0.9522714549830772
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1926,1926,0.010478415333318489,0.017139440681760744,0.9469459434527701,0.9264428119450141
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1803,1803,0.00635382827562528,0.002984166215280155,0.9759399917885775,0.9573625000487903
Rassemblement national,Europe of Nations and Freedom Group,1943,1943,0.003496233565713751,0.006095133965921195,0.9786498177581553,0.6514582776669392
Partido Popular,Group of the European People's Party (Christian Democrats),1481,1481,0.005650510866581088,0.01728449659029095,0.9775390566953801,0.9257059044163353
Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,1704,1745,0.00528169014084507,0.07046383761443176,0.9901146131805157,0.777120637128991
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1687,1687,0.008766297918639353,0.020910486664859528,0.9792638501589302,0.953391650860545
Partit dels Socialistes de Catalunya,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1610,,0.017416336788550164,,0.9508072441625233
Partido Popular,Group of the European People's Party (Christian Democrats),1906,1906,0.001361903224442574,0.011493515390738424,0.9803101460757623,0.9265559886148708
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1662,1662,0.05795728038507822,0.04009160596300562,0.9280599965618016,0.7864741108497458
Miljöpartiet de gröna,,129,0,0.13565891472868216,,0.9832071323888617,
Liberal-Conservative Refomists,European Conservatives and Reformists Group,1854,1863,0.05306094929881338,0.06517740699404632,0.952361782071927,0.738120266426477
Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2017,2019,0.007126921170054536,0.036948550444045714,0.975631500742942,0.951428144875243
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1851,1851,0.01657995669281302,0.02488033986211079,0.9684250302165499,0.9280761934191416
Die Grünen - Die Grüne Alternative,,1213,0,0.00741962077493817,,0.9903363453815262,
Sverigedemokraterna,European Conservatives and Reformists Group,1737,1832,0.0,0.319579401715805,0.9938591703056768,0.7368685501188229
Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1446,1586,0.0,0.029688553325421155,0.983921815889029,0.9519517562482416
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1778,1778,0.019517258735298054,0.016923786795790582,0.9490235730802755,0.924052713852846
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1619,1619,0.01332124767506324,0.022599124414044824,0.9857258730663533,0.9516008326511683
Conservative Party,European Conservatives and Reformists Group,1427,1427,0.023362624643239977,0.060400545296133715,0.9245883633680566,0.7412830996260776
Fine Gael Party,Group of the European People's Party (Christian Democrats),1776,1795,0.008445945945945946,0.021349921792409916,0.9887883008356546,0.9269167176471157
Strana svobodných občanů,,0,0,,,1.0,
Conservative Party,European Conservatives and Reformists Group,1665,1665,0.004254568739862858,0.06678002970654842,0.9322065204379446,0.7361151460406998
,European Conservatives and Reformists Group,0,1876,,0.281335042366913,,0.739951632964968
Partij voor de Vrijheid,,849,0,0.0035335689045936395,,0.995817843866171,
Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),1917,1923,0.013041210224308816,0.014895837539613158,0.9711388455538221,0.9246418093390038
Democrats for Strong Bulgaria,Group of the European People's Party (Christian Democrats),0,1995,,0.021081490217512426,,0.9257939701345402
Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left,1354,1464,0.0,0.01844752554834775,0.9482581967213115,0.7917407187358274
'Saskaņa' sociāldemokrātiskā partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1971,,0.03449038014357825,,0.9501721449414614
,Group of the European People's Party (Christian Democrats),0,1405,,0.012030708567329532,,0.9305845210797827
SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2005,2042,0.004987531172069825,0.013823365184179091,0.9711679725759059,0.9498481124572344
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),2007,2007,0.010618599818560998,0.013446425215225915,0.9467336635487517,0.9250692395607456
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1614,1614,0.014281657520505106,0.02380932209145192,0.9628857614917095,0.951677982909636
Nova Esquerra Catalana,,0,0,,,,
